Module,Connector,Pin,Module Pin,Wire Color,Goes To,Source Pin,Goes To Pin,Function / Role,Confidence,Notes,Source PDF Pages
REM,A,20,A:20,GN,4/56A,29,4/56A:29,CEM connection (matches CEM A:29),HIGH,,39
REM,A,21,A:21,GN-W,4/56A,12,4/56A:12,CEM connection (matches CEM A:12),HIGH,,39
REM,A,23,A:23,Y,3/76,4,3/76:4,L-h rear door lock unit pin 4,HIGH,via 54/20:11,39
REM,A,24,A:24,GR,3/76,6,3/76:6,L-h rear door lock unit pin 6,HIGH,via 54/20:10; F28 fuse,39
REM,A,25,A:25,Y-R,8/59,1,8/59:1,Rear left belt tensioner igniter,HIGH,F19 fuse,39
REM,A,27,A:27,VO,3/76,8,3/76:8,L-h rear door lock unit pin 8,HIGH,via 54/20:9,39
REM,A,29,A:29,BL,3/1,8,3/1:8,Ignition switch pin 8,HIGH,,39
REM,A,30,A:30,BL,4/84C,1,4/84C:1,Suspension Module (SUM) C:1 (Suspension Module (SUM) CAN/data),HIGH,F24 fuse,39
REM,A,32,A:32,SB,31/47,,31/47,REM chassis ground,HIGH,,39
REM,B,1,B:1,GN-BN,3/86,3,3/86:3,Rear right door power window switch pin 3,HIGH,"via 54/21:8, 54/43:8; F9 fuse",39
REM,B,2,B:2,BL,3/86,5,3/86:5,Rear right door power window switch pin 5,HIGH,"via 54/21:6, 54/43:1",39
REM,B,4,B:4,P,10/18,2,10/18:2,L-h tail light path (S60/S80),HIGH,both S60 and S80,39
REM,B,7,B:7,BL,10/18A,3,10/18A:3,L-h tail light (S60),HIGH,S60; F1 fuse,"39, 67"
REM,B,8,B:8,R-W,16/15,2,16/15:2,CD changer pin 2,HIGH,F6 fuse; also feeds 16/45D:1 (RTI/Multimedia),39
REM,B,9,B:9,BL-SB,6/37,1,6/37:1,"Lock motor, fuel filler flap",HIGH,,39
REM,B,10,B:10,BL,10/17A,2,10/17A:2,R-h tail light (S60),HIGH,S60; F1 fuse,"39, 67"
REM,B,11,B:11,GN,10/18A,2,10/18A:2,L-h tail light auxiliary (S60),HIGH,S60,39
REM,B,12,B:12,GR,3/77,6,3/77:6,R-h rear door lock unit pin 6,HIGH,via 54/43:10 + 54/21:9,39
REM,B,15,B:15,BL,8/85,1,8/85:1,"Thermostatic switch, fuel filter",HIGH,F13 fuse; via 54/35:3,39
REM,B,21,B:21,BL,4/86A,1,4/86A:1,Parking Assistance Module (PAM) pin A:1,HIGH,F26 fuse,39
REM,B,22,B:22,R,4/78A,2,4/78A:2,Audio Electronic Module (AEM) A:2,HIGH,F3 fuse,39
REM,B,23,B:23,P,10/17A,3,10/17A:3,R-h tail light L-marker (S60),HIGH,S60 marking — applies S60R; F1 fuse; S80 routes to 10/17:6,39
REM,B,24,B:24,VO,3/77,5,3/77:5,R-h rear door lock unit pin 5,HIGH,via 54/43:11 + 54/21:3,39
REM,B,25,B:25,Y-R,54/106,1,54/106:1,Bi-fuel pump/valves (Bi-fuel only),HIGH,via 54/54:7; NOT S60R,39
REM,B,26,B:26,Y,3/77,4,3/77:4,R-h rear door lock unit pin 4,HIGH,via 54/43:2 + 54/21:11,39
REM,B,28,B:28,Y-R,8/60,1,8/60:1,Rear right belt tensioner igniter,HIGH,,39
REM,B,30,B:30,Y,3/86,1,3/86:1,Rear right door power window switch pin 1,HIGH,"via 54/21:5, 54/43:7",39
REM,B,31,B:31,R,17/19,1,17/19:1,"12V outlet, cargo compartment",HIGH,F8 fuse,39
REM,C,1,C:1,GN,3/75,3,3/75:3,R-h front door lock unit pin 3,HIGH,,39
REM,C,3,C:3,P,3/76,2,3/76:2,L-h rear door lock unit pin 2,HIGH,via 54/20:3,39
REM,C,4,C:4,Y,3/62,1,3/62:1,R-h power door mirror pin 1,HIGH,"via 54/4:3, 54/3.1:14",39
REM,C,5,C:5,BL,3/76,5,3/76:5,L-h rear door lock unit pin 5,HIGH,via 54/20:4,39
REM,C,6,C:6,GR,7/120,4,7/120:4,Vacuum pump pin 4 (W/O SUM),HIGH,W/O SUM,39
REM,C,9,C:9,BN-W,7/120,1,7/120:1,Vacuum pump pin 1 (W/O SUM),HIGH,W/O SUM,39
REM,C,11,C:11,GN-R,7/120,5,7/120:5,Vacuum pump pin 5 (W/O Suspension Module (SUM) cars),HIGH,W/O SUM marking; S60R has SUM (Four-C) so probably NOT used,39
REM,C,12,C:12,P,3/74,3,3/74:3,L-h front door lock unit pin 3,HIGH,via 54/10:8,39
REM,C,13,C:13,GN,4/56,D:50,4/56:D:50,LOSPEED CAN LO (from CEM D:50),HIGH,matches CEM D:50,39
REM,C,14,C:14,W,4/56,D:35,4/56:D:35,LOSPEED CAN HI (from CEM D:35),HIGH,matches CEM D:35,39
REM,D,1,D:1,GR,10/18A,1,10/18A:1,L-h tail light pin 1 (S60),HIGH,S60 marking; S80 has GR-W route,39
REM,D,2,D:2,W,10/127,2,10/127:2,Cargo compartment lighting L-h,HIGH,,39
REM,D,3,D:3,BN,10/18,Bi-fuel,10/18:Bi-fuel,LPG (Bi-fuel only) — NOT S60R,HIGH,Bi-fuel CNG/LPG,39
REM,D,5,D:5,GR,10/17B,1,10/17B:1,R-h tail light (S60),HIGH,S60,39
REM,D,6,D:6,GR-W,10/18B,1,10/18B:1,L-h tail light (S60),HIGH,S60,39
REM,D,8,D:8,Y-GR,7/156,4,7/156:4,CNG Bi-fuel pressure sensor — NOT S60R,HIGH,Bi-fuel only,39
REM,D,11,D:11,W,10/128,2,10/128:2,Cargo compartment lighting R-h,HIGH,,39
REM,D,12,D:12,SB,31/72,,31/72,REM chassis ground (via 53/602),HIGH,,39
REM,D,14,D:14,GR-R,7/156,1,7/156:1,CNG Bi-fuel pressure sensor — NOT S60R,HIGH,Bi-fuel,39
REM,D,15,D:15,VO,7/156,2,7/156:2,Bi-fuel — NOT S60R,HIGH,Bi-fuel,39
REM,D,18,D:18,Y,10/18,7,10/18:7,L-h tail light (S80),HIGH,S80 only — NOT S60R; use B:3 path instead,39
REM,D,26,D:26,Y,7/100,1,7/100:1,Inclination Sensor Module (ISM) pin 1,HIGH,,39
REM,D,27,D:27,Y,7/156,3,7/156:3,Bi-fuel — NOT S60R,HIGH,Bi-fuel,39
REM,D,28,D:28,BL,3/77,5,3/77:5,"R-h rear door (via 54/43:11, 54/21:4)",HIGH,,39
REM,D,29,D:29,P,3/78,1,3/78:1,Trunk lid lock unit pin 1,HIGH,"via 54/11:8, 54/35:4; F28 fuse",39
REM,D,31,D:31,GN-W,7/100,2,7/100:2,Inclination Sensor Module (ISM) pin 2,HIGH,,39
REM,D,32,D:32,GN-W,4/86A,12,4/86A:12,Parking Assistance Module (PAM) A:12,HIGH,,39
REM,D,33,D:33,P,3/77,4,3/77:4,"R-h rear door (via 54/43:5, 54/21:3)",HIGH,F28 fuse,39
REM,D,36,D:36,GN-Y,7/153,1,7/153:1,LPG Bi-fuel level sensor — NOT S60R,HIGH,Bi-fuel,39
REM,E,A,E:A,R,4/110A,6,4/110A:6,Trailer Module (TRM) pin A:6,HIGH,F-protected; trailer wiring optional,39
REM,E,B,E:B,P,4/110B,4,4/110B:4,Trailer Module pin B:4,HIGH,,39
REM,E,C,E:C,GN-R,4/110A,11,4/110A:11,Trailer Module pin A:11,HIGH,,39
REM,E,D,E:D,GN-Y,4/110A,4,4/110A:4,Trailer Module pin A:4,HIGH,,39
REM,E,E,E:E,Y,4/110B,1,4/110B:1,Trailer Module pin B:1,HIGH,,39
REM,E,F,E:F,R-W,17/39,10,17/39:10,Towing socket pin 10 (13-pin),HIGH,,39
REM,E,G,E:G,R,17/39,9,17/39:9,Towing socket pin 9 (13-pin),HIGH,,39
REM,E,H,E:H,BL,17/39,8,17/39:8,Towing socket pin 8 (13-pin),HIGH,,39
REM,E,J,E:J,GN,4/110B,5,4/110B:5,Trailer Module pin B:5,HIGH,,39
REM,E,K,E:K,GN-W,4/110B,3,4/110B:3,Trailer Module pin B:3,HIGH,,39
REM,E,L,E:L,GR,4/110B,2,4/110B:2,Trailer Module pin B:2,HIGH,,39
REM,E,M,E:M,R,4/110A,7,4/110A:7,Trailer Module pin A:7,HIGH,,39
REM,F,2,F:2,BL-SB,3/78,?,3/78:?,Trunk lid lock unit (uncertain pin),LOW,*** AMBIGUITY *** two label-positions read as F:2 on page 38; verify on harness,39
REM,F,3,F:3,GR-GN,10/3,,10/3,License plate lighting,HIGH,via 54-multiplexer; from p39,39
REM,F,5,F:5,BN-R,3/78,4,3/78:4,Trunk lid lock unit pin 4,HIGH,,39
REM,F,8,F:8,GR-W,3/78,2,3/78:2,Trunk lid lock unit pin 2,HIGH,F28 fuse,39
REM,F,10,F:10,GR-,10/3,,10/3,"(label partially unreadable, dashed)",MEDIUM,character cut off in transcription,39
REM,K,I,K:I,R-W,11E/1,2,11E/1:2,Main +30 battery power,HIGH,,39
SRS,A,3,A:3,BL-OR,8/51,2,8/51:2,Front L side curtain airbag pin 2,HIGH,A:3,127
SRS,A,4,A:4,OR,8/51,1,8/51:1,Front L side curtain airbag pin 1,HIGH,A:4 via 54/24,127
SRS,A,5,A:5,OR,8/33,1,8/33:1,Front L belt tensioner igniter pin 1,HIGH,A:5,127
SRS,A,6,A:6,GN-OR,8/33,2,8/33:2,Front L belt tensioner igniter pin 2,HIGH,A:6,127
SRS,A,8,A:8,OR,7/115,1,7/115:1,Front L side impact sensor pin 1,HIGH,A:8,127
SRS,A,9,A:9,OR-SB,7/115,2,7/115:2,Front L side impact sensor pin 2,HIGH,A:9,127
SRS,A,15,A:15,BL-OR,8/55,2,8/55:2,Rear L belt tensioner igniter pin 2,HIGH,A:15,127
SRS,A,16,A:16,OR,8/55,1,8/55:1,Rear L belt tensioner igniter pin 1,HIGH,A:16,127
SRS,A,18,A:18,OR,7/179,1,7/179:1,(uncertain device — labeled 7/179),MEDIUM,A:18 abs pos 18,127
SRS,A,19,A:19,OR-SB,7/179,2,7/179:2,(uncertain device),MEDIUM,A:19,127
SRS,A,21,A:21,OR,8/66,1,8/66:1,L inflatable curtain igniter pin 1,HIGH,A:21,127
SRS,A,22,A:22,OR-SB,8/66,2,8/66:2,L inflatable curtain igniter pin 2,HIGH,A:22,127
SRS,A,25,A:25,VO,4/56,D:8,4/56:D:8,Power feed (alt path via 53/408),HIGH,A:25 abs pos 25,127
SRS,A,26,A:26,OR-SB,3/93,,3/93,Driver seat belt buckle switch,HIGH,A:26 abs pos 26 via 54/24:18/19,127
SRS,A,27,A:27,OR,7/108,1,7/108:1,Rear L side impact sensor pin 1,HIGH,A:27,127
SRS,A,28,A:28,GN-OR,7/108,2,7/108:2,Rear L side impact sensor pin 2,HIGH,A:28,127
SRS,B,2,B:2,Y-W,4/56,D:20,4/56:D:20,CEM D:20 connection,HIGH,B:2 abs pos 30; SRS to CEM crash signal,127
SRS,B,7,B:7,BL-OR,18/4,2,18/4:2,Contact reel pin 2,HIGH,B:7 abs pos 35,127
SRS,B,8,B:8,OR,18/4,1,18/4:1,Contact reel pin 1 (squib OR/BL-OR pair),HIGH,B:8 abs pos 36,127
SRS,B,9,B:9,OR,18/4,3,18/4:3,Contact reel pin 3,HIGH,B:9 abs pos 37,127
SRS,B,10,B:10,GN-OR,18/4,4,18/4:4,Contact reel pin 4,HIGH,B:10 abs pos 38,127
SRS,B,11,B:11,OR-SB,8/31,2,8/31:2,Passenger airbag igniter pin 2,HIGH,B:11 abs pos 39,127
SRS,B,12,B:12,OR,8/31,1,8/31:1,Passenger airbag igniter pin 1,HIGH,B:12 abs pos 40; via 54/12:1,127
SRS,B,13,B:13,OR,8/32,1,8/32:1,Passenger airbag stage 2 igniter pin 1,HIGH,B:13 abs pos 41; via 54/12:4,127
SRS,B,14,B:14,GN-OR,8/32,2,8/32:2,Passenger airbag stage 2 igniter pin 2,HIGH,B:14 abs pos 42,127
SRS,B,20,B:20,OR,7/178,4,7/178:4,(uncertain device — labeled 7/178),MEDIUM,B:20 abs pos 48,127
SRS,B,21,B:21,GN-OR,7/178,3,7/178:3,(uncertain device),MEDIUM,B:21 abs pos 49,127
SRS,B,23,B:23,OR,4/56,D:37,4/56:D:37,LOSPEED CAN to CEM,HIGH,B:23 abs pos 51,127
SRS,B,24,B:24,OR-SB,4/56,D:37,4/56:D:37,LOSPEED CAN to CEM,HIGH,B:24 abs pos 52; CEM D:37/D:52 pair,127
SRS,B,25,B:25,OR,4/56,D:52,4/56:D:52,LOSPEED CAN to CEM,HIGH,B:25 abs pos 53,127
SRS,B,26,B:26,OR-SB,4/56,D:52,4/56:D:52,LOSPEED CAN to CEM,HIGH,B:26 abs pos 54,127
SRS,B,27,B:27,VO,4/56,D:8,4/56:D:8,CEM D:8 power feed via 53/408 junction,HIGH,B:27 abs pos 55; matches CEM D:8,127
SRS,B,28,B:28,BL-R,4/56,D:16,4/56:D:16,CEM D:16 power feed,HIGH,B:28 abs pos 56; matches CEM D:16,127
SRS,C,3,C:3,BL-OR,8/52,2,8/52:2,Front R side curtain airbag pin 2,HIGH,C:3 abs pos 59,127
SRS,C,4,C:4,OR,8/52,1,8/52:1,Front R side curtain airbag pin 1,HIGH,C:4 abs pos 60,127
SRS,C,5,C:5,OR,8/34,1,8/34:1,Front R belt tensioner igniter pin 1,HIGH,C:5 abs pos 61,127
SRS,C,6,C:6,GN-OR,8/34,2,8/34:2,Front R belt tensioner igniter pin 2,HIGH,C:6 abs pos 62,127
SRS,C,8,C:8,OR,7/116,1,7/116:1,Front R side impact sensor pin 1,HIGH,C:8 abs pos 64,127
SRS,C,9,C:9,OR-SB,7/116,2,7/116:2,Front R side impact sensor pin 2,HIGH,C:9 abs pos 65,127
SRS,C,15,C:15,BL-OR,8/56,2,8/56:2,Rear R belt tensioner igniter pin 2,HIGH,C:15 abs pos 71,127
SRS,C,16,C:16,OR,8/56,1,8/56:1,Rear R belt tensioner igniter pin 1,HIGH,C:16 abs pos 72,127
SRS,C,21,C:21,OR,8/67,1,8/67:1,R inflatable curtain igniter pin 1,HIGH,C:21 abs pos 77,127
SRS,C,22,C:22,OR-SB,8/67,2,8/67:2,R inflatable curtain igniter pin 2,HIGH,C:22 abs pos 78,127
SRS,C,23,C:23,GN-OR,8/62,2,8/62:2,Center rear belt tensioner pin 2,HIGH,C:23 abs pos 79,127
SRS,C,24,C:24,OR,8/62,1,8/62:1,Center rear belt tensioner pin 1,HIGH,C:24 abs pos 80,127
SRS,C,27,C:27,OR,7/109,1,7/109:1,Rear R side impact sensor pin 1,HIGH,C:27 abs pos 83,127
SRS,C,28,C:28,GN-OR,7/109,2,7/109:2,Rear R side impact sensor pin 2,HIGH,C:28 abs pos 84,127
CCM,A,1,A:1,VO-W,7/192,6,7/192:6,Evap temp sensor,HIGH,,121
CCM,A,2,A:2,Y,4/31,A:3,4/31:A:3,Fan control module,HIGH,,121
CCM,A,3,A:3,BL,4/31,B:1,4/31:B:1,Fan control module,HIGH,,121
CCM,A,5,A:5,VO,7/192,3,7/192:3,Fan motor power,HIGH,,121
CCM,A,7,A:7,GN-W,7/192,5,7/192:5,Fan motor LIN data,HIGH,,121
CCM,A,8,A:8,GN,4/56,D:39,4/56:D:39,LOSPEED CAN to CEM,HIGH,matches CEM D:39 via DDM/PDM/AUM bus,41
CCM,A,9,A:9,,3/173,,3/173,Mirror retract switch,HIGH,,108
CCM,A,10,A:10,W,4/56,D:54,4/56:D:54,LOSPEED CAN to CEM,HIGH,matches CEM D:54,41
CCM,A,11,A:11,,3/173,,3/173,Mirror retract switch,HIGH,twisted pair w/ A:9,108
CCM,A,12,A:12,GN-W,7/192,2,7/192:2,Fan motor command (LIN),HIGH,,121
CCM,A,13,A:13,BN,7/192,4,7/192:4,Fan motor ground,HIGH,,121
CCM,A,16,A:16,BN,53/438,,53/438,Ground junction,HIGH,,121
DIM,,2,2,GR,4/46,B:46,4/46:B:46,RPM/tach signal from ECM,HIGH,matches ECM B:46,48
DIM,,7,7,GN,4/56,D:49,4/56:D:49,LOSPEED CAN LO to CEM,HIGH,matches CEM D:49,41
DIM,,8,8,W,4/56,D:34,4/56:D:34,LOSPEED CAN HI to CEM,HIGH,matches CEM D:34,41
DIM,,9,9,GN,3/127,,3/127,CAN to PDM/DDM,HIGH,,41
DIM,,10,10,W,3/127,,3/127,CAN to PDM/Driver Door Module (DDM) (via 54/11),HIGH,,41
SWM,,2,2,BN,53/438,,53/438,Ground via 53/438,HIGH,,61
SWM,,7,7,GN-W,4/56,D:58,4/56:D:58,LIN to CEM,HIGH,matches CEM D:58,42
SWM,,9,9,Y,4/56,D:7,4/56:D:7,CEM D:7,HIGH,matches CEM D:7,36
SWM,,10,10,Y,4/56,D:17,4/56:D:17,CEM D:17,HIGH,matches CEM D:17,36
LSM,,1,1,R,53/425,,53/425,Power feed (via 11C/7 + 11C/9 fuses),HIGH,,61
LSM,,3,3,GN-W,4/56,D:41,4/56:D:41,LIN to CEM,HIGH,matches CEM D:41,42
LSM,,5,5,BN,53/438,,53/438,Ground,HIGH,,61
FCM,A,1,A:1,VO-W,4/56,A:10,4/56:A:10,"CEM A:10 (F10 fuse, power)",HIGH,,121
FCM,A,2,A:2,BL,3/112,A:3,3/112:A:3,Climate Control Module (CCM) control signal,HIGH,,121
FCM,A,3,A:3,Y,3/112,A:2,3/112:A:2,Climate Control Module (CCM) control signal,HIGH,,121
FCM,A,4,A:4,SB,31/10,,31/10,Ground (LHD),HIGH,LHD only,121
FCM,B,1,B:1,BL,6/28,,6/28,Passenger compartment fan drive,HIGH,,121
FCM,B,2,B:2,Y,6/28,,6/28,Fan return,HIGH,,121
AUM,A,1,A:1,R,K:1,,K:1,Battery power direct,HIGH,,92
AUM,A,2,A:2,VO,4/56,A:6,4/56:A:6,CEM A:6 power (F28 fuse),HIGH,matches CEM A:6 (resolved from conflict),92
AUM,A,6,A:6,F28,,,,Power input (CEM A:6 routed),HIGH,,92
AUM,A,7,A:7,W,4/56,D:39,4/56:D:39,LOSPEED CAN HI,HIGH,matches CEM D:39,41
AUM,A,8,A:8,GN,4/56,D:54,4/56:D:54,LOSPEED CAN LO,HIGH,matches CEM D:54,41
AUM,A,9,A:9,BL-W,16/9,,16/9,Antenna power,HIGH,,92
AUM,A,12,A:12,BN,31/84,,31/84,Ground,HIGH,,92
AUM,B,1,B:1,GR-R,54/10,9,54/10:9,Front L speaker +,HIGH,,92
AUM,B,2,B:2,GR,54/10,10,54/10:10,Front L speaker -,HIGH,,92
AUM,B,5,B:5,GR-R,54/11,9,54/11:9,Front R speaker +,HIGH,,92
AUM,B,6,B:6,GR,54/11,10,54/11:10,Front R speaker -,HIGH,,92
AUM,B,7,B:7,GR-W,53/523,,53/523,Rear L speaker +,HIGH,,92
AUM,B,8,B:8,GR,53/524,,53/524,Rear L speaker -,HIGH,,92
AUM,B,11,B:11,GR-W,53/525,,53/525,Rear R speaker +,HIGH,,92
AUM,B,12,B:12,GR,53/526,,53/526,Rear R speaker -,HIGH,,92
DDM,A,2,A:2,W,4/56,D:39,4/56:D:39,LOSPEED CAN HI,HIGH,matches CEM D:39 via 54/10:3,41
DDM,A,3,A:3,GN,4/56,D:54,4/56:D:54,LOSPEED CAN LO,HIGH,matches CEM D:54 via 54/10:4,41
DDM,A,16,A:16,Y,3/85,,3/85,,HIGH,,109
DDM,A,19,A:19,BL,3/85,,3/85,Window switch L-rear,HIGH,,109
DDM,A,23,A:23,W,3/85,,3/85,,HIGH,,109
DDM,A,24,A:24,GN,3/85,,3/85,,HIGH,,109
DDM,B,3,B:3,VO,3/85,,3/85,,HIGH,,109
DDM,B,4,B:4,R-SB,3/85,,3/85,,HIGH,,109
DDM,B,12,B:12,R,54/10,1,54/10:1,Power feed via 11C/4 + 11C/5,HIGH,,109
PDM,A,2,A:2,W,4/56,D:39,4/56:D:39,LOSPEED CAN HI,HIGH,,41
PDM,A,3,A:3,GN,4/56,D:54,4/56:D:54,LOSPEED CAN LO,HIGH,,41
PDM,B,12,B:12,R,54/11,1,54/11:1,Power feed,HIGH,,109
BCM,,4,4,BL,4/56,B:22,4/56:B:22,F15 fuse - power/data,HIGH,matches CEM B:22,37
BCM,,11,11,W,53/512,,53/512,HISPEED CAN HI (via 54/3:11),HIGH,,40
BCM,,15,15,GN,53/513,,53/513,HISPEED CAN LO,HIGH,,40
ECPS,,1,1,BN,6/71,1,6/71:1,Speed-dependent valve,HIGH,,106
ECPS,,2,2,Y,6/71,2,6/71:2,Speed-dependent valve,HIGH,,106
ECPS,,3,3,GN-W,4/56,C:17,4/56:C:17,CEM C:17 control,HIGH,matches CEM C:17,106
ECPS,,4,4,BL,4/56,B:23,4/56:B:23,CEM B:23 power (F16),HIGH,,106
ECPS,,5,5,SB,53/329,,53/329,Ground via 53/329 → 31/93,HIGH,,106
SUM,A,15,A:15,GN,53/568,,53/568,HISPEED CAN LO (FOUR-C path),HIGH,,40
SUM,A,16,A:16,W,53/567,,53/567,HISPEED CAN HI (FOUR-C path),HIGH,twisted w/ A:15,40
SUM,C,1,C:1,BL,4/56,A:30,4/56:A:30,CEM A:30 (REM bus reference),HIGH,,38
DEM,,1,1,BL-R,53/502,,53/502,CEM A:14 connection,HIGH,matches REM A:14,38
DEM,,7,7,GN,53/513,,53/513,HISPEED CAN LO (AWD path),HIGH,,40
DEM,,8,8,W,53/512,,53/512,HISPEED CAN HI (AWD path),HIGH,,40
GSM,A,1,A:1,BL-W,4/56,D:23,4/56:D:23,CEM D:23,HIGH,,102
GSM,A,2,A:2,GN-W,4/28,B:21,4/28:B:21,TCM B:21 (LIN),HIGH,via 54/3.1:5,102
GSM,A,3,A:3,VO-W,4/56,A:25,4/56:A:25,CEM A:25,HIGH,,102
GSM,A,6,A:6,SB,4/28,A:54,4/28:A:54,TCM A:54,HIGH,via 54/3.1:26,102
PAM,A,1,A:1,BL,4/58,B:21,4/58:B:21,Power feed from REM B:21 (F26 fuse),HIGH,matches REM B:21,83
PAM,A,8,A:8,SB,31/72,,31/72,Chassis ground via 53/602,HIGH,,83
PAM,A,12,A:12,GN-W,4/58,D:32,4/58:D:32,LIN bus to REM D:32,HIGH,matches REM D:32,83
PAM,B,1,B:1,SB,7/204+7/205+7/206+7/207,3,7/204+7/205+7/206+7/207:3,Front sensors common ground (all pin 3),HIGH,via 6-pin inline pin 6,83
PAM,B,2,B:2,BL,7/204+7/205+7/206+7/207,1,7/204+7/205+7/206+7/207:1,Front sensors common data (all pin 1),HIGH,via 6-pin inline pin 1,83
PAM,B,5,B:5,W,7/204,2,7/204:2,Front RF/O sensor signal (LHD),HIGH,via inline pin 5; 7/204 = right-front outer on LHD,83
PAM,B,6,B:6,Y,7/205,2,7/205:2,Front RF/I sensor signal (LHD),HIGH,via inline pin 4; 7/205 = right-front inner on LHD,83
PAM,B,7,B:7,VO,7/206,2,7/206:2,Front LF/I sensor signal (LHD),HIGH,via inline pin 3; 7/206 = left-front inner on LHD,83
PAM,B,8,B:8,GN,7/207,2,7/207:2,Front LF/O sensor signal (LHD),HIGH,via inline pin 2; 7/207 = left-front outer on LHD,83
PAM,C,1,C:1,SB,7/131+7/132+7/133+7/134,3,7/131+7/132+7/133+7/134:3,"Rear sensors common ground (all pin 3, shared bus)",HIGH,"C:1, C:7, C:8, C:9 all common ground",83
PAM,C,2,C:2,VO,7/133,2,7/133:2,Rear RR/I sensor signal,HIGH,7/133 = right-rear inner,83
PAM,C,3,C:3,Y,7/132,2,7/132:2,Rear LR/I sensor signal,HIGH,7/132 = left-rear inner,83
PAM,C,4,C:4,GN,7/134,2,7/134:2,Rear RR/O sensor signal,HIGH,7/134 = right-rear outer,83
PAM,C,5,C:5,W,7/131,2,7/131:2,Rear LR/O sensor signal,HIGH,7/131 = left-rear outer,83
PAM,C,6,C:6,BL,7/131+7/132+7/133+7/134,1,7/131+7/132+7/133+7/134:1,"Rear sensors common data (all pin 1, shared bus)",HIGH,"C:6, C:10, C:11, C:12 all common data",83
PAM,C,7,C:7,SB,7/132,3,7/132:3,Ground bus (parallel to C:1),HIGH,same common as C:1,83
PAM,C,8,C:8,SB,7/133,3,7/133:3,Ground bus (parallel to C:1),HIGH,same common as C:1,83
PAM,C,9,C:9,SB,7/134,3,7/134:3,Ground bus (parallel to C:1),HIGH,same common as C:1,83
PAM,C,10,C:10,BL,7/132,1,7/132:1,Data bus (parallel to C:6),HIGH,same common as C:6,83
PAM,C,11,C:11,BL,7/133,1,7/133:1,Data bus (parallel to C:6),HIGH,same common as C:6,83
PAM,C,12,C:12,BL,7/134,1,7/134:1,Data bus (parallel to C:6),HIGH,same common as C:6,83
RTI,,,,R-W,4/58,B:8,4/58:B:8,Power feed from REM B:8 (F6 fuse),HIGH,shared with CD changer 16/15,92
RTI,D,3,D:3,W,4/56,D:38,4/56:D:38,LOSPEED CAN HI (to UEM/PHM/CEM segment),HIGH,twisted pair w/ D:4; matches CEM D:38 via 53/433,92
RTI,D,4,D:4,GN,4/56,D:53,4/56:D:53,LOSPEED CAN LO,HIGH,twisted pair w/ D:3; matches CEM D:53,92
RTI,D,20,D:20,GN,4/58,D:21,4/58:D:21,LIN data to REM D:21,MEDIUM,visible on LOSPEED CAN page; secondary bus,41
RTI,D,21,D:21,W,4/58,D:20,4/58:D:20,LIN data return,MEDIUM,,41
